artist,song,duration,ts,sessionId,auth,level,itemInSession,city,zip,state,userAgent,lon,lat,userId,lastName,firstName,gender,registration
Camp Lo featuring Jungle Brown,Nicky Barnes AKA It's Alright,193.43628,1618669651000,10003,Logged In,free,0,El Paso,79936,TX,"""Mozilla/5.0 (Macintosh; Intel Mac OS X 10_6_8) AppleWebKit/534.59.10 (KHTML, like Gecko) Version/5.1.9 Safari/534.59.10""",-106.296976,31.776593,906,Ward,Kailani,F,1616086800000
Florence + The Machine,Dog Days Are Over (Radio Edit),219.66322,1618669657000,10323,Logged In,free,1,Columbus,43201,OH,"""Mozilla/5.0 (Windows NT 6.1; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/36.0.1985.125 Safari/537.36""",-82.999946,39.99083,168,Rivera,Breyden,M,1616086800000
The Misfits,Dig Up Her Bones,181.21098,1618669659000,9220,Logged In,paid,3,Cookeville,38501,TN,Mozilla/5.0 (Windows NT 6.1; WOW64; rv:31.0) Gecko/20100101 Firefox/31.0,-85.533285,36.226045,506,Miller,Brianna,F,1616086800000
Man Man,Against The Peruvian Monster,171.88525,1618669677000,10613,Logged In,paid,38,Sunland Park,88063,NM,"""Mozilla/5.0 (iPad; CPU OS 7_1_2 like Mac OS X) AppleWebKit/537.51.2 (KHTML, like Gecko) Version/7.0 Mobile/11D257 Safari/9537.53""",-106.599107,31.817964,312,Little,Kenneth,M,1616086800000
Kings Of Leon,McFearless,189.1522,1618669713000,10655,Logged In,paid,26,Ramsey,62080,IL,"""Mozilla/5.0 (Macintosh; Intel Mac OS X 10_9_4) AppleWebKit/537.77.4 (KHTML, like Gecko) Version/7.0.5 Safari/537.77.4""",-89.10422,39.137908,355,Ponce,Holden,M,1616086800000
Red Hot Chili Peppers,Tell Me Baby (Album Version),247.66649,1618669809000,10673,Logged In,free,2,Broomfield,80021,CO,"""Mozilla/5.0 (Windows NT 6.1; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/36.0.1985.143 Safari/537.36""",-105.113724,39.890663,733,Mitchell,Rylan,M,1616086800000
Shakira ft. Wyclef Jean,Hips Don't Lie,215.9016,1618669812000,10571,Logged In,paid,31,Jennings,70546,LA,"""Mozilla/5.0 (Macintosh; Intel Mac OS X 10_9_4) AppleWebKit/537.78.2 (KHTML, like Gecko) Version/7.0.6 Safari/537.78.2""",-92.673552,30.266368,559,Rodgers,Chase,M,1616086800000
Gunther & the Sunshine Girls,Touch Me,219.24525,1618669840000,9220,Logged In,paid,4,Cookeville,38501,TN,Mozilla/5.0 (Windows NT 6.1; WOW64; rv:31.0) Gecko/20100101 Firefox/31.0,-85.533285,36.226045,506,Miller,Brianna,F,1616086800000
Darude,Sandstorm,226.08934,1618669844000,10003,Logged In,free,1,El Paso,79936,TX,"""Mozilla/5.0 (Macintosh; Intel Mac OS X 10_6_8) AppleWebKit/534.59.10 (KHTML, like Gecko) Version/5.1.9 Safari/534.59.10""",-106.296976,31.776593,906,Ward,Kailani,F,1616086800000
Vienna Teng,Blue Caravan,234.84036,1618669848000,10613,Logged In,paid,39,Sunland Park,88063,NM,"""Mozilla/5.0 (iPad; CPU OS 7_1_2 like Mac OS X) AppleWebKit/537.51.2 (KHTML, like Gecko) Version/7.0 Mobile/11D257 Safari/9537.53""",-106.599107,31.817964,312,Little,Kenneth,M,1616086800000
Five Iron Frenzy,Canada,236.09424,1618669902000,10655,Logged In,paid,27,Ramsey,62080,IL,"""Mozilla/5.0 (Macintosh; Intel Mac OS X 10_9_4) AppleWebKit/537.77.4 (KHTML, like Gecko) Version/7.0.5 Safari/537.77.4""",-89.10422,39.137908,355,Ponce,Holden,M,1616086800000
Florence + The Machine,Dog Days Are Over (Radio Edit),219.66322,1618670027000,10571,Logged In,paid,32,Jennings,70546,LA,"""Mozilla/5.0 (Macintosh; Intel Mac OS X 10_9_4) AppleWebKit/537.78.2 (KHTML, like Gecko) Version/7.0.6 Safari/537.78.2""",-92.673552,30.266368,559,Rodgers,Chase,M,1616086800000
Dropkick Murphys,The Warrior's Code,251.50648,1618670059000,9220,Logged In,paid,5,Cookeville,38501,TN,Mozilla/5.0 (Windows NT 6.1; WOW64; rv:31.0) Gecko/20100101 Firefox/31.0,-85.533285,36.226045,506,Miller,Brianna,F,1616086800000
Extol,Innbydelse,298.1873,1618670070000,10003,Logged In,free,6,El Paso,79936,TX,"""Mozilla/5.0 (Macintosh; Intel Mac OS X 10_6_8) AppleWebKit/534.59.10 (KHTML, like Gecko) Version/5.1.9 Safari/534.59.10""",-106.296976,31.776593,906,Ward,Kailani,F,1616086800000
Metallica,Master Of Puppets,515.2126,1618670082000,10613,Logged In,paid,40,Sunland Park,88063,NM,"""Mozilla/5.0 (iPad; CPU OS 7_1_2 like Mac OS X) AppleWebKit/537.51.2 (KHTML, like Gecko) Version/7.0 Mobile/11D257 Safari/9537.53""",-106.599107,31.817964,312,Little,Kenneth,M,1616086800000
Hepcat,Baby Blues,283.81995,1618670098000,10288,Logged In,paid,8,Wendell,83355,ID,Mozilla/5.0 (Windows NT 6.1; WOW64; rv:31.0) Gecko/20100101 Firefox/31.0,-114.722206,42.757435,452,Johnson,Evan,M,1616086800000
The Kills,Last Day Of Magic,203.38893,1618670138000,10655,Logged In,paid,28,Ramsey,62080,IL,"""Mozilla/5.0 (Macintosh; Intel Mac OS X 10_9_4) AppleWebKit/537.77.4 (KHTML, like Gecko) Version/7.0.5 Safari/537.77.4""",-89.10422,39.137908,355,Ponce,Holden,M,1616086800000
